"genome","array_size","following_spacing_size"
"R_barbata_hap1_chrs",30976,1522963
"R_barbata_hap1_chrs",51485,2337550
"R_barbata_hap1_chrs",5703,67969
"R_barbata_hap1_chrs",8382,654839
"R_barbata_hap1_chrs",89990,1006707
"R_barbata_hap1_chrs",58861,772181
"R_barbata_hap1_chrs",59391,1545430
"R_barbata_hap1_chrs",93500,1443529
"R_barbata_hap1_chrs",51915,958589
"R_barbata_hap1_chrs",182277,1990069
"R_barbata_hap1_chrs",23162,352856
"R_barbata_hap1_chrs",212702,1113346
"R_barbata_hap1_chrs",8225,141175
"R_barbata_hap1_chrs",31431,1680365
"R_barbata_hap1_chrs",44386,1529989
"R_barbata_hap1_chrs",91395,1007162
"R_barbata_hap1_chrs",97115,1431760
"R_barbata_hap1_chrs",3074,773489
"R_barbata_hap1_chrs",93814,1417340
"R_barbata_hap1_chrs",37276,2833622
"R_barbata_hap1_chrs",126666,555908
"R_barbata_hap1_chrs",1006,553982
"R_barbata_hap1_chrs",46406,923276
"R_barbata_hap1_chrs",38056,1674769
"R_barbata_hap1_chrs",71182,1283673
"R_barbata_hap1_chrs",7210,3843104
"R_barbata_hap1_chrs",16151,558302
"R_barbata_hap1_chrs",82123,1985404
"R_barbata_hap1_chrs",164382,1596074
"R_barbata_hap1_chrs",76563,1650298
"R_barbata_hap1_chrs",1978,2285126
"R_barbata_hap1_chrs",185363,2759037
"R_barbata_hap1_chrs",110108,NA
"R_barbata_hap1_chrs",16729,1293612
"R_barbata_hap1_chrs",194958,1348860
"R_barbata_hap1_chrs",42817,842436
"R_barbata_hap1_chrs",110774,779717
"R_barbata_hap1_chrs",39552,1327149
"R_barbata_hap1_chrs",94201,651857
"R_barbata_hap1_chrs",10041,119897
"R_barbata_hap1_chrs",58156,2203027
"R_barbata_hap1_chrs",223930,1178699
"R_barbata_hap1_chrs",98852,2050027
"R_barbata_hap1_chrs",119963,1490170
"R_barbata_hap1_chrs",41625,1022870
"R_barbata_hap1_chrs",68856,1379508
"R_barbata_hap1_chrs",184814,1717508
"R_barbata_hap1_chrs",3860,666047
"R_barbata_hap1_chrs",1216,452247
"R_barbata_hap1_chrs",12642,149904
"R_barbata_hap1_chrs",3281,614102
"R_barbata_hap1_chrs",1335,525115
"R_barbata_hap1_chrs",41244,649130
"R_barbata_hap1_chrs",50692,5460576
"R_barbata_hap1_chrs",60407,132143
"R_barbata_hap1_chrs",17017,6599037
"R_barbata_hap1_chrs",19976,348555
"R_barbata_hap1_chrs",7831,2544272
"R_barbata_hap1_chrs",65677,1726253
"R_barbata_hap1_chrs",33989,1842994
"R_barbata_hap1_chrs",73598,1024907
"R_barbata_hap1_chrs",74981,809061
"R_barbata_hap1_chrs",4040,2910577
"R_barbata_hap1_chrs",47537,1471648
"R_barbata_hap1_chrs",51514,901295
"R_barbata_hap1_chrs",32335,936327
"R_barbata_hap1_chrs",74056,830249
"R_barbata_hap1_chrs",3761,469565
"R_barbata_hap1_chrs",3071,194194
"R_barbata_hap1_chrs",23606,148544
"R_barbata_hap1_chrs",60223,1492321
"R_barbata_hap1_chrs",211794,1645978
"R_barbata_hap1_chrs",174796,1254815
"R_barbata_hap1_chrs",41738,826212
"R_barbata_hap1_chrs",77054,574037
"R_barbata_hap1_chrs",6605,96168
"R_barbata_hap1_chrs",35718,1542325
"R_barbata_hap1_chrs",81711,904988
"R_barbata_hap1_chrs",92997,1860883
"R_barbata_hap1_chrs",21646,1283993
"R_barbata_hap1_chrs",112475,1360637
"R_barbata_hap1_chrs",3033,2242778
"R_barbata_hap1_chrs",2127,4915635
"R_barbata_hap1_chrs",33741,1553778
"R_barbata_hap1_chrs",7274,4852685
"R_barbata_hap1_chrs",64556,7767630
"R_barbata_hap1_chrs",3516,4280346
"R_barbata_hap1_chrs",284816,2729768
"R_barbata_hap1_chrs",37687,150043
"R_barbata_hap1_chrs",6603,2327453
"R_barbata_hap1_chrs",1606,NA
"R_holoschoenoides_hap1_chr",14342,376529
"R_holoschoenoides_hap1_chr",1314,435977
"R_holoschoenoides_hap1_chr",8528,675614
"R_holoschoenoides_hap1_chr",58252,1213017
"R_holoschoenoides_hap1_chr",60344,1557398
"R_holoschoenoides_hap1_chr",27145,190620
"R_holoschoenoides_hap1_chr",12510,856451
"R_holoschoenoides_hap1_chr",52652,798691
"R_holoschoenoides_hap1_chr",7866,431668
"R_holoschoenoides_hap1_chr",12019,808862
"R_holoschoenoides_hap1_chr",1555,271501
"R_holoschoenoides_hap1_chr",49774,500901
"R_holoschoenoides_hap1_chr",29994,598092
"R_holoschoenoides_hap1_chr",20662,390484
"R_holoschoenoides_hap1_chr",39889,896432
"R_holoschoenoides_hap1_chr",9576,610242
"R_holoschoenoides_hap1_chr",11027,197807
"R_holoschoenoides_hap1_chr",11804,158150
"R_holoschoenoides_hap1_chr",12906,1211554
"R_holoschoenoides_hap1_chr",7296,335402
"R_holoschoenoides_hap1_chr",52557,463502
"R_holoschoenoides_hap1_chr",7874,699101
"R_holoschoenoides_hap1_chr",9034,273262
"R_holoschoenoides_hap1_chr",3136,727896
"R_holoschoenoides_hap1_chr",18433,1376859
"R_holoschoenoides_hap1_chr",8088,1101543
"R_holoschoenoides_hap1_chr",10516,3913527
"R_holoschoenoides_hap1_chr",2024,598943
"R_holoschoenoides_hap1_chr",9302,306539
"R_holoschoenoides_hap1_chr",7440,771960
"R_holoschoenoides_hap1_chr",8525,699001
"R_holoschoenoides_hap1_chr",10625,342980
"R_holoschoenoides_hap1_chr",10794,767460
"R_holoschoenoides_hap1_chr",10248,456080
"R_holoschoenoides_hap1_chr",6616,616191
"R_holoschoenoides_hap1_chr",10914,356010
"R_holoschoenoides_hap1_chr",16018,400585
"R_holoschoenoides_hap1_chr",13475,367601
"R_holoschoenoides_hap1_chr",9058,306234
"R_holoschoenoides_hap1_chr",7623,1321963
"R_holoschoenoides_hap1_chr",13352,831652
"R_holoschoenoides_hap1_chr",7315,531530
"R_holoschoenoides_hap1_chr",7540,331023
"R_holoschoenoides_hap1_chr",691,449386
"R_holoschoenoides_hap1_chr",11864,299480
"R_holoschoenoides_hap1_chr",7902,678396
"R_holoschoenoides_hap1_chr",2780,520660
"R_holoschoenoides_hap1_chr",12392,538586
"R_holoschoenoides_hap1_chr",19931,1407904
"R_holoschoenoides_hap1_chr",9678,1027825
"R_holoschoenoides_hap1_chr",8094,487663
"R_holoschoenoides_hap1_chr",10373,716301
"R_holoschoenoides_hap1_chr",6847,404018
"R_holoschoenoides_hap1_chr",7347,574153
"R_holoschoenoides_hap1_chr",12347,694061
"R_holoschoenoides_hap1_chr",6395,870471
"R_holoschoenoides_hap1_chr",27769,479977
"R_holoschoenoides_hap1_chr",9264,308700
"R_holoschoenoides_hap1_chr",14837,399782
"R_holoschoenoides_hap1_chr",8530,572678
"R_holoschoenoides_hap1_chr",15627,1605293
"R_holoschoenoides_hap1_chr",9214,542684
"R_holoschoenoides_hap1_chr",4836,903490
"R_holoschoenoides_hap1_chr",6945,1941506
"R_holoschoenoides_hap1_chr",10584,196455
"R_holoschoenoides_hap1_chr",5324,344266
"R_holoschoenoides_hap1_chr",680,175037
"R_holoschoenoides_hap1_chr",11297,954786
"R_holoschoenoides_hap1_chr",719,534308
"R_holoschoenoides_hap1_chr",7432,396237
"R_holoschoenoides_hap1_chr",7965,296286
"R_holoschoenoides_hap1_chr",6677,266430
"R_holoschoenoides_hap1_chr",2297,1641692
"R_holoschoenoides_hap1_chr",7503,615786
"R_holoschoenoides_hap1_chr",24118,860222
"R_holoschoenoides_hap1_chr",2856,259675
"R_holoschoenoides_hap1_chr",5590,1135318
"R_holoschoenoides_hap1_chr",2821,468486
"R_holoschoenoides_hap1_chr",3386,3162262
"R_holoschoenoides_hap1_chr",1088,455295
"R_holoschoenoides_hap1_chr",2451,263855
"R_holoschoenoides_hap1_chr",904,219972
"R_holoschoenoides_hap1_chr",3581,1294839
"R_holoschoenoides_hap1_chr",679,309434
"R_holoschoenoides_hap1_chr",4656,1046295
"R_holoschoenoides_hap1_chr",6504,NA
"R_holoschoenoides_hap1_chr",8500,581578
"R_holoschoenoides_hap1_chr",36445,664929
"R_holoschoenoides_hap1_chr",14962,368078
"R_holoschoenoides_hap1_chr",2170,242164
"R_holoschoenoides_hap1_chr",24291,649405
"R_holoschoenoides_hap1_chr",51813,494167
"R_holoschoenoides_hap1_chr",3988,307114
"R_holoschoenoides_hap1_chr",71597,797777
"R_holoschoenoides_hap1_chr",59757,680475
"R_holoschoenoides_hap1_chr",3031,427622
"R_holoschoenoides_hap1_chr",20972,379759
"R_holoschoenoides_hap1_chr",60697,484829
"R_holoschoenoides_hap1_chr",40747,254929
"R_holoschoenoides_hap1_chr",1160,850116
"R_holoschoenoides_hap1_chr",3562,119628
"R_holoschoenoides_hap1_chr",21411,679177
"R_holoschoenoides_hap1_chr",16398,392695
"R_holoschoenoides_hap1_chr",11221,593438
"R_holoschoenoides_hap1_chr",42466,942598
"R_holoschoenoides_hap1_chr",13098,214625
"R_holoschoenoides_hap1_chr",6945,1339409
"R_holoschoenoides_hap1_chr",36664,577328
"R_holoschoenoides_hap1_chr",26627,579604
"R_holoschoenoides_hap1_chr",12442,759068
"R_holoschoenoides_hap1_chr",12520,613382
"R_holoschoenoides_hap1_chr",54585,670216
"R_holoschoenoides_hap1_chr",12343,352071
"R_holoschoenoides_hap1_chr",11951,547581
"R_holoschoenoides_hap1_chr",13411,584447
"R_holoschoenoides_hap1_chr",19888,556600
"R_holoschoenoides_hap1_chr",9202,847158
"R_holoschoenoides_hap1_chr",14052,334126
